Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968700,43.968700,43.750000,43.937500,27.357212,1003200
1993-02-01,43.968700,44.250000,43.968700,44.250000,27.551798,480500
1993-02-02,44.218700,44.375000,44.125000,44.343700,27.610134,201300
1993-02-03,44.406200,44.843700,44.375000,44.812500,27.902021,529400
1993-02-04,44.968700,45.093700,44.468700,45.000000,28.018766,531500
1993-02-05,44.968700,45.062500,44.718700,44.968700,27.999277,492100
1993-02-08,44.968700,45.125000,44.906200,44.968700,27.999277,596100
1993-02-09,44.812500,44.812500,44.562500,44.656200,27.804701,122100
1993-02-10,44.656200,44.750000,44.531200,44.718700,27.843613,379600
1993-02-11,44.781200,45.125000,44.781200,44.937500,27.979870,19500
1993-02-12,44.875000,44.875000,44.593700,44.593700,27.765779,42500
1993-02-16,44.468700,44.468700,43.406200,43.468700,27.065323,374800
1993-02-17,43.468700,43.531200,43.281200,43.437500,27.045898,210900
1993-02-18,43.937500,43.937500,42.812500,43.406200,27.026405,378100
1993-02-19,43.406200,43.562500,43.343700,43.562500,27.123714,34900
1993-02-22,43.687500,43.781200,43.562500,43.718700,27.220961,513600
1993-02-23,43.843700,43.875000,43.468700,43.687500,27.201569,373700
1993-02-24,43.718700,44.250000,43.718700,44.250000,27.551798,26300
1993-02-25,44.218700,44.375000,44.125000,44.343700,27.610134,44500
1993-02-26,44.437500,44.437500,44.187500,44.406200,27.649038,66200
1993-03-01,44.562500,44.562500,44.218700,44.281200,27.571209,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,27.979870,182400
1993-03-03,45.000000,45.156200,44.937500,45.125000,28.096605,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,27.940941,89500
1993-03-05,44.937500,45.125000,44.718700,44.750000,27.863110,40000
1993-03-08,44.843700,45.750000,44.843700,45.750000,28.485743,50800
1993-03-09,45.656200,45.687500,45.500000,45.593700,28.388424,169300
1993-03-10,45.593700,45.687500,45.406200,45.687500,28.446833,194400
1993-03-11,45.718700,45.843700,45.500000,45.562500,28.369020,70900
1993-03-12,45.187500,45.218700,44.812500,45.093700,28.077099,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,28.213346,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,28.213346,30800
1993-03-17,45.250000,45.250000,44.968700,45.031200,28.038195,21800
1993-03-18,45.218700,45.500000,45.218700,45.312500,28.213346,59300
1993-03-19,45.281200,45.281200,45.031200,45.031200,28.170616,66900
1993-03-22,44.593700,44.875000,44.562500,44.781200,28.014217,183400
1993-03-23,44.906200,44.937500,44.812500,44.875000,28.072887,55200
1993-03-24,44.812500,45.062500,44.593700,44.875000,28.072887,37200
1993-03-25,44.906200,45.250000,44.843700,45.156200,28.248817,110100
1993-03-26,45.125000,45.156200,44.875000,44.906200,28.092417,101500
1993-03-29,44.937500,45.312500,44.937500,45.093700,28.209717,87100
1993-03-30,45.156200,45.218700,45.093700,45.218700,28.287905,56000
1993-03-31,45.343700,45.468700,45.187500,45.187500,28.268377,111600
1993-04-01,45.250000,45.250000,44.937500,45.031200,28.170616,129500
1993-04-02,44.656200,44.656200,44.093700,44.093700,27.584129,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,27.721022,172200
1993-04-06,44.406200,44.406200,44.062500,44.187500,27.642805,129700
1993-04-07,44.250000,44.343700,44.156200,44.343700,27.740536,28000
1993-04-08,44.531200,44.531200,44.093700,44.281200,27.701439,180800
1993-04-12,44.718700,44.937500,44.656200,44.906200,28.092417,348500
1993-04-13,44.875000,45.156200,44.843700,45.000000,28.151104,146100
1993-04-14,45.031200,45.062500,44.906200,44.937500,28.111996,119600
1993-04-15,44.906200,45.031200,44.750000,44.937500,28.111996,148600
1993-04-16,44.968700,45.031200,44.875000,44.937500,28.111996,47900
1993-04-19,44.937500,45.062500,44.718700,44.750000,27.994694,157000
1993-04-20,44.687500,44.750000,44.250000,44.531200,27.857840,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,27.838318,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,27.486418,97700
1993-04-23,43.843700,43.968700,43.687500,43.750000,27.369123,106000
1993-04-26,43.781200,43.937500,43.281200,43.406200,27.154053,62600
1993-04-27,43.343700,43.875000,43.343700,43.875000,27.447317,156800
1993-04-28,43.812500,43.906200,43.718700,43.781200,27.388643,85900
1993-04-29,43.875000,43.968700,43.625000,43.968700,27.505924,85000
1993-04-30,44.125000,44.281200,44.031200,44.031200,27.545034,88500
1993-05-03,44.093700,44.312500,43.906200,44.312500,27.721022,80500
1993-05-04,44.406200,44.625000,44.343700,44.468700,27.818727,149100
1993-05-05,44.468700,44.750000,44.468700,44.593700,27.896925,109000
1993-05-06,44.531200,44.562500,44.406200,44.437500,27.799213,54700
1993-05-07,44.468700,44.468700,44.281200,44.343700,27.740536,68000
1993-05-10,44.406200,44.687500,44.406200,44.437500,27.799213,113900
1993-05-11,44.437500,44.625000,44.312500,44.625000,27.916513,42600
1993-05-12,44.437500,44.593700,44.437500,44.562500,27.877396,31000
1993-05-13,44.375000,44.375000,44.000000,44.031200,27.545034,129100
1993-05-14,44.031200,44.156200,43.968700,44.000000,27.525513,63500
1993-05-17,44.125000,44.156200,43.937500,44.156200,27.623236,34000
1993-05-18,44.187500,44.218700,43.968700,44.125000,27.603714,105200
1993-05-19,44.125000,45.031200,43.843700,45.031200,28.170616,50200
1993-05-20,45.031200,45.156200,44.937500,45.156200,28.248817,98200
1993-05-21,45.187500,45.250000,44.718700,44.750000,27.994694,221400
1993-05-24,44.843700,45.093700,44.843700,44.937500,28.111996,30500
1993-05-25,45.125000,45.125000,45.031200,45.031200,28.170616,191800
1993-05-26,45.156200,45.625000,45.125000,45.593700,28.522507,102400
1993-05-27,45.656200,45.656200,45.375000,45.437500,28.424793,53800
1993-05-28,45.406200,45.406200,45.000000,45.218700,28.287905,79100
1993-06-01,45.375000,45.812500,45.312500,45.656200,28.561596,28300
1993-06-02,45.531200,45.750000,45.343700,45.593700,28.522507,20300
1993-06-03,45.500000,45.500000,45.343700,45.437500,28.424793,21600
1993-06-04,45.312500,45.312500,45.093700,45.281200,28.327013,32000
1993-06-07,45.375000,45.375000,45.125000,45.125000,28.229309,121400
1993-06-08,45.000000,45.000000,44.718700,44.718700,27.975107,104500
1993-06-09,44.875000,45.062500,44.812500,44.875000,28.072887,43300
